#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,310000000,3.33547E+11,25619
2,Cocomelon - Nursery Rhymes @UCbCmjCuTUZos6Inko4u57UQ,144M,-,United States,,43.2M,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,200000000,2.1867E+11,1935
3,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,188000000,1.85203E+11,164020
4,PewDiePie @UC-lHJZR3Gqxm24_Vd_AJ5Yw,111M,0.10%,United States,,33.3M,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29475896013,4658
5,MrBeast @UCX6OQ3DkcsbYNE6H8uQQuVA,100M,2.40%,United States,Celebrity Pets,30M,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,470000000,1.13992E+11,951
6,Like Nastya @UCJplp5SjeGSdVdwsfb9Q7lQ,97.3M,-,United States,,29.2M,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,131000000,1.19368E+11,1046
7,✿ Kids Diana Show @UCk8GzjMOrta8yxDcKfylJYw,94.2M,-,,,28.3M,UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,138000000,1.2317E+11,1572
8,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,86435399521,15843
9,WWE @UCJ5v_MCY6GNUBTO8-D3XoAg,91.2M,-,,,27.4M,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,112000000,1.02497E+11,91706
10,Vlad and Niki @UCvlE5gTbOvjiolFlEm-c_Ow,84.3M,-,United States,Marketing and Advertising Music,25.3M,UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,1.19671E+11,1000
11,BLACKPINK @UCOmHUn--16B90oW2L6FRR3A,82M,0.40%,South Korea,,24.6M,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,100000000,41692125300,665
12,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,UCyoXW-Dse7fURq30EWl_CUA,Goldmines,109000000,31661516065,13223
13,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M,UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,77200000,37425107235,278
14,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M,UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,105000000,1.40517E+11,108578
15,BANGTANTV @UCLkAepWjdylmXSltofFvsYQ,68.6M,0.50%,,,20.6M,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,82400000,26797370553,2966
16,HYBE LABELS @UC3IZKseVpdzPSBaWxBxundA,68.1M,-,South Korea,Celebrity Music,20.4M,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,79700000,44060591296,3028
17,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66.3M,-,Brazil,,19.9M,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,68000000,40197206483,3532
18,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,97300000,1.14092E+11,229378
19,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M,UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,74300000,34969086208,9947
20,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,81900000,1360512964,62318
21,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,98100000,58654958138,1067
22,Dude Perfect @UCRijo3ddMTht_IHyNSNXpNQ,58.6M,-,United States,,17.6M,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61800000,20262784897,549
23,Movieclips @UC3gNmTGu-TTbFPpfSs5kNkg,58.5M,-,United States,,17.6M,UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,65900000,68820002793,44358
24,Pinkfong Baby Shark - Kids' Songs & Stories @UCcdwLMPsaU2ezNSJU1nFoBQ,56.9M,-,,,17.1M,UCcdwLMPsaU2ezNSJU1nFoBQ,Baby Shark - Pinkfong Kids’ Songs & Stories,84300000,54536983332,3811
25,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56.5M,-,India,,17M,UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,80900000,54239509420,9482
26,Marshmello @UCEdvpU2pFRCVqU6yIPyTpMQ,55.8M,-,United States,,16.7M,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,58400000,17651362950,558
27,Wave Music @bhojpuriwave,55.6M,-,India,,16.7M,bhojpuriwave,,,,
28,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55.3M,-,India,,16.6M,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,70300000,57770278036,11717
29,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54M,-,India,,16.2M,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,74700000,44034657886,610121
30,El Reino Infantil @UCK1i2UviaXLUNrZlAFpw_jA,52.9M,-,,,15.9M,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,70900000,71926017961,2075
31,Ed Sheeran @UC0C-w0YjGpqDXGB8IHb662A,52.3M,-,,,15.7M,UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,59000000,37545011117,750
32,Ariana Grande @UC9CoOnJkIBMdeijd9qYoT_g,52.2M,-,,,15.7M,UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande,57000000,31251646521,231
33,EminemMusic @UCfM3zsQsOnfWNUppiycmBuw,51.7M,1%,,,15.5M,UCfM3zsQsOnfWNUppiycmBuw,EminemMusic,66500000,36788622184,210
34,T-Series Bhakti Sagar @UCaayLD9i5x4MmIoVZxXSv_g,49.9M,-,,,15M,UCaayLD9i5x4MmIoVZxXSv_g,T-Series Bhakti Sagar,81600000,46201436638,31833
35,LooLoo Kids - Nursery Rhymes and Children's Songs @UC4NALVCmcmL5ntpV0thoH6w,49.4M,-,United States,,14.8M,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,61800000,40234702086,945
